Term,Category of terms,Remarks,,,,,,,,,,,,,,,,,,,,,,
吾想同呀爸講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同呀爸講野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同呀爸講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同呀爸講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同呀爸講嘢,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔想同呀爸講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾想同呀爸講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5想同呀爸講o野,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當睇屋企人唔到,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當睇屋企人吾到,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當睇屋企人5到,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇屋企人,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇老豆,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇呀爸,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇阿爸,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇阿媽,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇老母,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇呀媽,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇亞爸,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
當冇亞媽,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
盡量避開屋企人,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
唔返屋企,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
吾返屋企,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
5返屋企,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
脫離父子關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
脫離父女關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
脫離母子關係,Family_Conflict_B,,,,,,,,,,,,,,,,,,,,,,,
